AUTHOR;EDITOR;TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR;TOPIC OR SUBJECT 1;TOPIC OR SUBJECT 2;TOPIC OR SUBJECT 3;TOPIC OR SUBJECT 4;TOPIC OR SUBJECT 5
Alexander, T. D. ;Beckwith, R. T. - Selman, M. J.;The Passover Sacrifice;Sacrifice in the Bible;;;;gen-24;Wipf & Stock Publishers;Eugene, Oregon;1995;1. Sacrifice and Bible (16th-18th century);;;;
Jenson, P. P. ;Beckwith, R. T. - Selman, M. J.;The Levitical Sacrificial System;Sacrifice in the Bible;;;;25-40;Wipf & Stock Publishers;Eugene, Oregon;1995;1. Sacrifice and Bible (16th-18th century);;;;
Courtman, N. B.;Beckwith, R. T. - Selman, M. J.;Sacrifice in the Psalms;Sacrifice in the Bible;;;;41-58;Wipf & Stock Publishers;Eugene, Oregon;1995;1. Sacrifice and Bible (16th-18th century);;;;
Lucas, E. C.;Beckwith, R. T. - Selman, M. J.;Sacrifice in the Prophets;Sacrifice in the Bible;;;;59-74;Wipf & Stock Publishers;Eugene, Oregon;1995;1. Sacrifice and Bible (16th-18th century);;;;
Wenham, G. J.;Beckwith, R. T. - Selman, M. J.;The Theology of Old Testament Sacrifice;Sacrifice in the Bible;;;;75-87;Wipf & Stock Publishers;Eugene, Oregon;1995;1. Sacrifice and Bible (16th-18th century);;;;
Selman, M. J.;Beckwith, R. T. - Selman, M. J.;Sacrifice in the Ancient Near East;Sacrifice in the Bible;;;;88-104;Wipf & Stock Publishers;Eugene, Oregon;1995;1. Sacrifice and Bible (16th-18th century);;;;
Beckwith, R. T.;Beckwith, R. T. - Selman, M. J.;Sacrifice in the World of the New Testament;Sacrifice in the Bible;;;;105-110;Wipf & Stock Publishers;Eugene, Oregon;1995;1. Sacrifice and Bible (16th-18th century);;;;
Head, P. M.;Beckwith, R. T. - Selman, M. J.;The Self-Offering and Death of Christ as a Sacrifice in the Gospels and the Acts of the Apostles;Sacrifice in the Bible;;;;111-129;Wipf & Stock Publishers;Eugene, Oregon;1995;1. Sacrifice and Bible (16th-18th century);;;;
Beckwith, R. T.;Beckwith, R. T. - Selman, M. J.;The Death of Christ as a Sacrifice in the Teaching of Paul and Hebrews;Sacrifice in the Bible;;;;130-135;Wipf & Stock Publishers;Eugene, Oregon;1995;1. Sacrifice and Bible (16th-18th century);;;;
Walton, S.;Beckwith, R. T. - Selman, M. J.;Sacrifice and Priesthood in Relation to the Christian Life and Church in the New Testament;Sacrifice in the Bible;;;;136-156;Wipf & Stock Publishers;Eugene, Oregon;1995;1. Sacrifice and Bible (16th-18th century);;;;
Haran, M.;Anderson, G.W. - Beckwith, R. T. - Selman, M. J. - de Boer, G.W. - Castellino, G.R. - Cazelles, H. - Emerton, J. - Nielsen, E. - May, H.G. - Zimmerli, W. ;The Passover Sacrifice;Studies in the Religion of Ancient Israel;;;;86-116;Brill;Leiden;1972;1. Sacrifice and Bible (16th-18th century);;;;
Gray, G. B.;;;Sacrifice In The Old Testament. Its Theory And Practice;;;;;Clarendon;Oxford;1925;1. Sacrifice and Bible (16th-18th century);;;;
Van Seters, J.;;;Abraham in History and Tradition;;;;;Yale University Press;New Haven;1974;1. Sacrifice and Bible (16th-18th century);;;;
Anderson, G. A.;Herion, G. A. - Graf, D. F. - Pleins, J. D. - Beck, A. D. ;Sacrifice and Sacrificial Offerings;The Anchor Bible Dictionary;;5;;871-886;Doubleday;New York;1992;1. Sacrifice and Bible (16th-18th century);;;;
Daiches, S.;Epstein, I. - Levine, E. - Roth, C.;"The Meaning of ""Sacrifices"" in the Psalms";Essays in Honour of the Very Rev. Dr. J. H. Hertz on the occasion of his seventieth birthday, September 25, 1942 ;;;;97-109;E. Goldston;London;1944;1. Sacrifice and Bible (16th-18th century);;;;
Thompson, R. J. ;;;Penitence and Sacrifice in Early Israel Outside the Levitical Law;;;;;Brill;Leiden;1963;1. Sacrifice and Bible (16th-18th century);;;;
Baal, J. van ;;Offering, Sacrifice and Gift;;Numen;23;3;161-178;;;;1. Sacrifice and Bible (16th-18th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);0. General bibliography (19th-21th century);;
Coleran, J. E. ;;Origins of the Old Testament Sacrifice;;Catholic Biblical Quarterly;2;2;130-144;;;1940;1. Sacrifice and Bible (16th-18th century);;;;
Cooke, B. J. ;;Synoptic Presentation of the Eucharist as Convenant Sacrifice;;Theological Studies;21;;gen-44;;;1960;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);;;
Cross, L. B.;Grensted, L. W.;Sacrifice in the Old Testament;The Atonement in History and in Life;;;;33-64;S.P.C.K.;London;1929;1. Sacrifice and Bible (16th-18th century);;;;
De Vaux, R.;;;Les Sacrifices de l'Ancien Testament;;;;;Gabalda;Paris;1964;1. Sacrifice and Bible (16th-18th century);;;;
De Vaux, R.;;;Studies in Old Testament Sacrifice;;;;;University of Wales;Cardiff;1964;1. Sacrifice and Bible (16th-18th century);;;;
Dobbie, R.;;Sacrifice and Morality in the Old Testament;;Expository Times;70;;297-300;;;1959;1. Sacrifice and Bible (16th-18th century);;;;
Hicks, F. N. ;;The Fullness of Sacrifice: an Essay in Reconciliation ;;;;;;MacMillan & Co.;London;1930;1. Sacrifice and Bible (16th-18th century);;;;
James, E. O. ;;After Fifty Years: Aspects of Sacrifice in the Old Testament;;Expository Times;50;;151-155;;;1938-39;1. Sacrifice and Bible (16th-18th century);;;;
James, E. O. ;Hastings, J.;Sacrifice and Sacrament;Encyclopaedia of Religion and Ethics;;11;;01-lug;T. & T. Clark - Scribner's sons;Edinburgh - New York;1962;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);;;
Masure, E.;;"
";The Sacrifice of the Mystical Body;;;;;H. Regnery - Burns & Oates;Chicago - London;1954;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);;;
Masure, E.;;;Le Sacrifice du Chef;;;;;La Colombe;Paris;1957;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);;;
Neusner, J.;;;A History of the Mishnaic Law of Holy Things, Part 6: The Mishnaic System of Sacrifice and Sanctuary;;;;;Wipf and Stock Publishers;Eugene;2007;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);;;
Lavering, M.;;;Sacrifice and Community: Jewish Offering and Christian Eucharist;;;;;Blackwell Publishing;Malden (Massachusetts);2005;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);;;
Daly, Robert J.;;;Origins of the Christian Doctrine of Sacrifice;;;;;Fortress Press;Philadelphia;1978;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);0. General bibliography (19th-21th century);;
Deiana, G.;;;Dai sacrifici dell'Antico Testamento al sacrificio di Cristo;;;;;Urbaniana University Press;Città del Vaticano;2002;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);;;
Kilian, R.;;;Isaaks Opferung: zur Uberlieferungsgeschichte von Gen 22;;;;;KBW;Stuttgart;1970;1. Sacrifice and Bible (16th-18th century);;;;
Rad, G. von;;;Das Opfer des Abraham;;;;;Kaiser;Münich;1981;1. Sacrifice and Bible (16th-18th century);;;;
Heim, S. M.;Murray, C. A.;In What Way Is Christ’s Death a Sacrifice? Theories of Sacrifice and Theologies of the Cross;Diversity of Sacrifice: Form and Function of Sacrificial Practices in the Ancient World and Beyond;;;;255-270;State University of New York Press;Albany;2016;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);;;
Eagleton, T.;;;Radical Sacrifice;;;;;Yale University Press;New Haven;2018;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);0. General bibliography (19th-21th century);;
Janovitz, N.;;;The Family Romance of Martyrdom in Second Maccabees;;;;;Routledge;New York;2017;1. Sacrifice and Bible (16th-18th century);;;;
Chilton, B.;Baumgarten, A. I.;Eucharist: Surrogate, Metaphor, Sacrament of Sacrifice;Sacrifice in Religious Experience;;;;175-188;Brill;Leiden - Boston;2002;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);;;
Blanchard, Y-M.;;Le sacrifice dans l'évangile et les épitres de Jean;;Cahiers Évangile;118;;;;;2002;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);;;
Cardellini, I.;;;I sacrifici dell'antica alleanza. Tipologie, rituali, celebrazioni;;;;;San Paolo;Cinisello Balsamo;2001;1. Sacrifice and Bible (16th-18th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;
Gianotto, C.;;ll sacrificio nell'Epistola agli Ebrei;;Annali di storia dell'esegesi;18;;169-179;;;2001;1. Sacrifice and Bible (16th-18th century);;;;
Grappe, C. - Marx, A.;;;Le sacrifice. Vocation et subversion du sacrifice dans les deux Testaments;;;;;Labor et Fides;Genève;1998;1. Sacrifice and Bible (16th-18th century);;;;
Lafont, B.;;Sacrifices et rituels a Mari et dans la Bible;;Revue d'Assyriologie et d'archéologie orientale;92;;57-77;;;1998;1. Sacrifice and Bible (16th-18th century);;;;
Lyonnet, S. - Sabourin, L.;;;Sin, Redemption, and Sacrifice : a Biblical and Patristic Study;;;;;Biblical Institute Press;Rome;1970;1. Sacrifice and Bible (16th-18th century);;;;
Marx, A.;;;Les sacrifices de l'Ancien Testament;;;;;Editions du Cerf;Paris;2000;1. Sacrifice and Bible (16th-18th century);;;;
Kuller Shuger, D.;;;The Renaissance Bible: Scholarship, Sacrifice, and Subjectivity;;;;;University of California Press;Berkeley;;1. Sacrifice and Bible (16th-18th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;
Moore, G. F.;Cheyne, T. K.  - Sutherland Black, J. ;Sacrifice;Encyclopaedia Biblica: a Critical Dictionary of the Literary, Political and Religious History, the Archaeology Geography and Natural History of the Bible;;4;;4183-4233 ;Adam and Charles Black;London;1899-1903;1. Sacrifice and Bible (16th-18th century);;;;
Grottanelli, C.;;Ospitare gli dei: sacrificio e diluvio;;Studi Storici;25;4;847-857;;;1984;1. Sacrifice and Bible (16th-18th century);;;;
Kern, M.;Held, J.;"Eine Kulturgeschichte des Opfers : die ""Anbetung der Hirten"" von Juan Bautista Maino";Kirchliche Kultur und Kunst des 17. Jahrhunderts in Spanien;;;;89-122;Vervuert;Frankfurt;2004;1. Sacrifice and Bible (16th-18th century);;;;
Nagel, G.;Allmen, J. J. von;Sacrifices;A Companion to the Bible;;;;375-380;Oxford University Press;New York;1958;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);;;
North, C. R. ;;Sacrifice in the Old Testament;;Expository Times;47;;250-254;;;1935-1936;1. Sacrifice and Bible (16th-18th century);;;;
Rainey, A. F.;;The Order of Sacrifices in Old Testament Ritual Text;;Biblica;51;;485-498;;;1970;1. Sacrifice and Bible (16th-18th century);;;;
Steinmueller, J. E. ;;Sacrificial Blood in the Bible;;Biblica;40;;556-567;;;1959;1. Sacrifice and Bible (16th-18th century);;;;
Ashby, G. W.;;;Sacrifice: its Nature and Purpose;;;;;SCM Press;London;1988;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);0. General bibliography (19th-21th century);
