AUTHOR;DATES / CENTURY;VIAF;TITLE;YEAR;PLACE;EDITOR;PUBLISHER / DEALER;LANGUAGE;other EDITIONS;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;KEY WORDS Unite;LINKS;TOPIC OR SUBJECT 1;TOPIC OR SUBJECT 2;TOPIC OR SUBJECT 3
Batt, John;16 - 17;;The royall priesthood of Christians: an excellent treatise, wherein the nature of the priesthood, the function of the priests, and qualitie of the sacrifice is lively portrayed, for the sure building up of the faithfull professors of the gospell, in holinesse and sanctitie of life;1605;London;;T. Este for Thomas Man;English;;Catholicism;Priesthood;Judaism;Living Sacrifices;;"Catholicism;Priesthood;Judaism;Living Sacrifices;";https://books.googleusercontent.com/books/content?req=AKW5QacGrRJz0RRLEC8ypmVmVYz55BO0eYXmqGH-lyRlyLwJ3kI45OyuQ6qDZJ63dOpcmBvCvoWaE3qJW6_SI2roLs9hBlURKmdDftg2d56ylU7kT8zekJqZIg80WvS7YyHx60GZFdnZPMYC4Nae3LvVBOCuUv-OSgTcLZQ4SjIVKuV6lJYAU0Y8nA-1mlWXbLlYqwzHCjjm7_AfaLcFC4wCPhQxexzy2YxKRoeeXa_oSfVTbnPa1l-mbDKtWkBq2UFBGCUJ-9OQoAqpexKcwU_9bzc-a2H1RVlj32MHSMUQi37-AfJhUVw;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century)
Barbault, Jean;1705 - 1766;http://viaf.org/viaf/18437480;Monumens antiques, ou, Collection choisie d'anciens bas-reliefs et fragmens egiptiens, grecs, romains, et etrusques : representant les cérémonies religieuses, sacrifices ... : ouvrage qui contient deux cents planches avec leur explication en abrégé;1783;Rome;;Bouchard et Gravier;French;;Ancient Sacrifices;Sacrifice Compared;Sculpture;Ancient Egyptians;Ancient Greeks;"Ancient Sacrifices;Sacrifice Compared;Sculpture;Ancient Egyptians;Ancient Greeks"; https://www.worldcat.org/title/monumens-antiques-ou-collection-choisie-danciens-bas-reliefs-et-fragmens-egiptiens-grecs-romains-et-etrusques-representant-les-ceremonies-religieuses-sacrifices-ouvrage-qui-contient-deux-cents-planches-avec-leur-explication-en-abrege/oclc/79272795&referer=brief_results;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Cloppenburg, Johannes;1592 - 1652;http://viaf.org/viaf/100166146;Sacrificiorum patriarchalium schola sacra, in qua examinatur sacrificiorum antiquitas, usus et antiquatio. Cum spicilegio;1637;Leiden;;ex officina Elseviriorum;Latin;Leiden, Elsevur, 1637;History;Patriarchs;Ancient Sacrificies;;;"History;Patriarchs;Ancient Sacrificies;;";https://books.google.it/books?id=hCYxgj4kRMUC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);1. Sacrifice and Bible (16th-18th century);
Conti, Natale;1520 - 1582;http://viaf.org/viaf/32030981;Mythologie, c'est à dire Explications des fables contenant les généalogies des dieux, les cérémonies de leurs sacrifices, leurs gestes, adventures, amours et presque tous les préceptes de la philosophie naturelle et morale. Extraite du latin de Noel-le-Comte par J de M. (Jean de Montlyard);1604;n. p.;;Iean Poyer;French;;Liturgy;Ancient rites;Greeks;Jews;Antiquarian;"Liturgy;Ancient rites;Greeks;Jews;Antiquarian";https://books.google.it/books?id=_Y5gziZ9SMUC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false ;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Edwards, John;1637 - 1716;http://viaf.org/viaf/47815346;Polpoikilos sophia, a compleat history or survey of all the dispensations and methods of religion, from the beginning of the world to the consummation of all things, as represented in the Old and New Testament shewing the several reasons and designs of those different administrations, and the wisdom and goodness of God in the government of His church, through all the ages of it : in which also, the opinion of Dr. Spencer concerning the Jewish rites and sacrifices is examin'd, and the certainty of the Christian religion demonstrated against the cavils of the Deists, &c.;1699;London;;"n. p.; ""Daniel Brown, Ionath. Robinson, Andrew Bell,
Iohn Wyat and E. Harris""";English;;Lyturgic;Ancient Rituals;Jewish sacrifice;Controversy;;"Lyturgic;Ancient Rituals;Jewish sacrifice;Controversy;";https://quod.lib.umich.edu/e/eebo/A38026.0001.001?view=toc ;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Grancolas, Jean;1660-1732;http://viaf.org/viaf/66476401;"Les Anciennes Liturgies, ou, La Maniere Dont On A Dit la sainte Messe dans chaque siècle : dans les Eglises d'Orient & dans celles d'Occident : Avec la recherche de toutes les Pratiques, Prières & Ceremonies qui s'observent dans le saint Sacrifice
";1697;Paris;;Jean de Nully;French;1704;Catholic;History;Sorbonne University;Eucharist;Liturgy;"Catholic;History;Sorbonne University;Eucharist;Liturgy";https://books.google.it/books?id=cW_vBKfMyDgC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false ;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);
"Jaubert, Pierre.; Lacornée, Jean-Baptiste ";"1715 - 1780; 1697 - 1772";"http://viaf.org/viaf/17224430; http://viaf.org/viaf/22279888";Dissertation sur un temple octogone et plusiers bas-reliefs trouvez à Cestas : lesquels désignent des fêtes de Cybéle, une initiation à ses mystéres, & une sacrifice qu'on lui a offert : enrichie de figures en taille douce & des notes curieuses;1743;Bordeaux;;Jean-Baptiste Lacornée;French;;Cybele;Ancient Sacrifice;Roman Gods;Temple;;"Cybele;Ancient Sacrifice;Roman Gods;Temple;";https://fr.wikisource.org/wiki/Dissertation_sur_un_temple_octogone_et_plusieurs_bas-reliefs_trouvez_%C3%A0_Cestas/Dissertation;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Ladesma, Diego de;1520  - 1575;http://viaf.org/viaf/39472825;De diuinis Scripturis, quauis passim lingua, non legendis, simul et de sacrificio Missae, caeterisque officijs in Ecclesia Christi, hebraea tantum, graeca, aut latina lingua celebrandis, aduersus nostrae aetatis haereticos liber unus;1574;Cologne;;Calenius & Quentel;Latin;Coloniae, Quentel, 1597;Catholic;Mass;Ancient Greeks;Jews;Liturgy;"Catholic;Mass;Ancient Greeks;Jews;Liturgy";https://reader.digitale-sammlungen.de//resolve/display/bsb10194030.html;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);1. Sacrifice and Bible (16th-18th century);
Lonitzer, Johan;1497 - 1569;http://viaf.org/viaf/9870657;Figurarum, pro Missionum, Historiarum, Caeremoniarum, Victimarum, & Sacrificiorum, Ex Testamento vetere, Ad Christum Dei Filium, & Ecclesiam eius pertinentium Synaoroisis;1560;Franc;;Haered. Ch. Egen.;Latin;;Lutheran;Patriarchs;Ancient Sacrifices;Old Testament;;"Lutheran;Patriarchs;Ancient Sacrifices;Old Testament;";http://books.google.com/books?id=p7IX-H5CjA4C&printsec=frontcover;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);1. Sacrifice and Bible (16th-18th century);
"Marlorat, Augustin; Bèze, Théodore de ";"1506 - 1562; 1519 - 1605";"http://viaf.org/viaf/32005708; http://viaf.org/viaf/66463755";"Sommaire recueil des signes sacrez, sacrifices et sacremens instituez de Dieu depuis la création du monde ; et De la vraye origine du sacrifice de la messe";1561;[Caen];;[Pierre Philippe];French;;Calvinist;Liturgy;Mass;History;;"Calvinist;Liturgy;Mass;History;";https://books.google.it/books?id=1wne35HS_M8C&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);1. Sacrifice and Bible (16th-18th century);
