AUTHOR;EDITOR;TITLE;SHORT TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR
Alden, D.;;The Making of an Enterprise: The Society of Jesus in Portugal, its Empire, and Beyond, 1540-1750;The Making of an Enterprise: The Society of Jesus in Portugal, its Empire, and Beyond, 1540-1750;;;;;;Stanford University Press;Stanford;1996
;Harris, M. N.;Sights and Insights: Interactive Images of Europe and the Wider World;Sights and Insights: Interactive Images of Europe and the Wider World;;;;;;Pisa University Press;Pisa;2007
Aoyama Gen, P.;;Die Missionstätigkeit des heiligen Franz Xaver in Japan aus japanischer Sicht;Die Missionstätigkeit des heiligen Franz Xaver in Japan aus japanischer Sicht;;;;;;Steyer Verlag;St. Augustin;1967
Aranha, P.;;Il cristianesimo latino in India nel xvi secolo;Il cristianesimo latino in India nel xvi secolo;;;;;;Franco Angeli;Milano;2006
;AAVV;San Francisco Javier entre dos continentes;San Francisco Javier entre dos continentes;;;;;;Iberoamericana Editorial;Madrid;2007
Aritonang, J. S. & Steenbrink, K.;;A History of Christianity in Indonesia;A History of Christianity in Indonesia;;;;;;Brill;Boston-Leiden;2008
;Arun, J. C.;Interculturation of Religion: Critical Perspectives on Robert de Nobili’s Mission in India;Interculturation of Religion: Critical Perspectives on Robert de Nobili’s Mission in India;;;;;;Asian Trading Corp.;Bangalore;2007
Bayly, S.;;Saints, Goddesses and Kings: Muslims and Christians in South Indian Society, 1700-1900;Saints, Goddesses and Kings: Muslims and Christians in South Indian Society, 1700-1900;;;;;;Cambridge University Press;Cambridge;1989
Bentley, J. H.;;Old World Encounters: Cross-Cultural Contacts and Exchanges in Pre-Modern Times;Old World Encounters: Cross-Cultural Contacts and Exchanges in Pre-Modern Times;;;;;;;;
;Borschberg, P.;The Memoirs and Memorials of Jacques de Coutre: Security, Trade, and Society in 16th- and 17th-century Southeast Asia;The Memoirs and Memorials of Jacques de Coutre: Security, Trade, and Society in 16th- and 17th-century Southeast Asia;;;;;;Nus Press;Singapore;2014
Boscaro, A.;;Ventura e sventura dei gesuiti in Giappone (1549-1639);Ventura e sventura dei gesuiti in Giappone (1549-1639);;;;;;Cafoscarina;Venezia;2008
Boxer, C. R.;;The Christian Century in Japan, 1549-1650;The Christian Century in Japan, 1549-1650;;;;;;University of California Press;Berkeley;1951
Gomes de Brito, B.;;História trágico-marítima. Com outras noticias de naufragios;História trágico-marítima. Com outras noticias de naufragios;;;;;;Escriptorio;Lisboa;1904-09
Brockey, L. M.;;Journey to the East: the Jesuit Mission to China, 1579-1724;Journey to the East: the Jesuit Mission to China, 1579-1724;;;;;;Harvard University Press;Cambridge;2007
Brodrick, J.;;S. Francesco Saverio. Apostolo delle Indie e del Giappone, 1506-1552;S. Francesco Saverio. Apostolo delle Indie e del Giappone, 1506-1552;;;;;;Editrice Missionaria Italiana;Parma;2006
;Harris, J & Kennedy, F. T.;The Jesuits: Cultures, Sciences, and the Arts, 1540-1773;The Jesuits: Cultures, Sciences, and the Arts, 1540-1773;;;;;;University of Toronto Press;Toronto-Buffalo-London;1999
;Cooper, M.;They Came to Japan: An Anthology of European Reports on Japan, 1543-1640;They Came to Japan: An Anthology of European Reports on Japan, 1543-1640;;;;;;University of California Press;Berkeley;1965
;Cummins, J. S.;Christianity and Missions, 1450-1800;Christianity and Missions, 1450-1800;;;;;;Routledge;Abingdon-New York;2016
Danvers, F. C.;;The Portuguese in India: Being a History of the Rise and Decline of their Eastern Empire;The Portuguese in India: Being a History of the Rise and Decline of their Eastern Empire;;;;;;Asian Educational Services;New Delhi-Chennai;2003
da Silva Cosme, O.M.;;Fidalgos in the Kingdom of Kotte, Sri Lanka (1501-1656): The Portuguese in Sri Lanka;Fidalgos in the Kingdom of Kotte, Sri Lanka (1501-1656): The Portuguese in Sri Lanka;;;;;;Harwoods;Colombo;1990
D'Costa, A.;;The Christianisation of the Goa Islands, 1510-1567;The Christianisation of the Goa Islands, 1510-1567;;;;;;Heras Institute;Goa;1965
;De Silva, C. R.;Portuguese Encounters with Sri Lanka and the Maldives: Translated Texts from the Age of Discoveries;Portuguese Encounters with Sri Lanka and the Maldives: Translated Texts from the Age of Discoveries;;;;;;Ashgate;Farnham-Burlington;2009
;Županov, I. & Fabre, P-A.;The Rites Controversies in the Early Modern World;The Rites Controversies in the Early Modern World;;;;;;Brill;Boston-Leiden;2018
Elison, G.;;Deus Destroyed: The Image of Christianity in Early Modern Japan;Deus Destroyed: The Image of Christianity in Early Modern Japan;;;;;;Harvard University Press;Cambridge;1973
;Hall, J. W.;The Cambridge History of Japan;The Cambridge History of Japan;;;;;;Cambridge University Press;Cambridge-New York;1990
Elliott, J. H.;;Imperial Spain 1469-1716;Imperial Spain 1469-1716;;;;;;Penguin;London;1963
Farge, W. J.;;The Japanese Translations of the Jesuit Mission Press, 1590-1614: «The Imitatione Christi» and «Guía de Pecadores»;The Japanese Translations of the Jesuit Mission Press, 1590-1614: «The Imitatione Christi» and «Guía de Pecadores»;;;;;;Edwin Mellen Press;Lewiston;2002
;Fasana, E. & Sorge, G.;Civiltà indiana e impatto europeo nei secoli xvi-xviii. L’apporto dei viaggiatori e missionari italiani;Civiltà indiana e impatto europeo nei secoli xvi-xviii. L’apporto dei viaggiatori e missionari italiani;;;;;;Jaca Book;Milano;1987
Ferroli, D.;;The Jesuits in Malabar;The Jesuits in Malabar;;;;;;King and co.;Bangalore;1951
Frykenberg, R. E.;;Christianity in India: From Beginnings to the Present;Christianity in India: From Beginnings to the Present;;;;;;Oxford University Press;Oxford;2008
Fujita, N. S.;;Japan’s Encounter with Christianity: The Catholic Mission in Pre-Modern Japan;Japan’s Encounter with Christianity: The Catholic Mission in Pre-Modern Japan;;;;;;Paulist Press;New York;1991
Henn, A.;;Hindu-Catholic Encounters in Goa: Religion, Colonialism, and Modernity;Hindu-Catholic Encounters in Goa: Religion, Colonialism, and Modernity;;;;;;Indiana University Press;Bloomington;2014
Hesselink, R. H.;;The Dream of Christian Nagasaki: World Trade and the Clash of Cultures, 1560-1640;The Dream of Christian Nagasaki: World Trade and the Clash of Cultures, 1560-1640;;;;;;McFarland;Jefferson;2015
Higashibaba, I.;;Christianity in Early Modern Japan: Kirishitan Belief and Practice;Christianity in Early Modern Japan: Kirishitan Belief and Practice;;;;;;Brill;Boston-Leiden;2001
Po-Chia Hsia, R.;;A Jesuit in the Forbidden City: Matteo Ricci 1552-1610;A Jesuit in the Forbidden City: Matteo Ricci 1552-1610;;;;;;Brill;Boston-Leiden;2010
Narayan Jha, D.;;The Myth of the Holy Cow;The Myth of the Holy Cow;;;;;;Verso;London-New York;2002
