AUTHOR;EDITOR;TITLE;SHORT TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR
Alexander, T. D. ;Beckwith, R. T. - Selman, M. J.;The Passover Sacrifice;The Passover Sacrifice;Sacrifice in the Bible;;;;gen-24;Wipf & Stock Publishers;Eugene, Oregon;1995
Jenson, P. P. ;Beckwith, R. T. - Selman, M. J.;The Levitical Sacrificial System;The Levitical Sacrificial System;Sacrifice in the Bible;;;;25-40;Wipf & Stock Publishers;Eugene, Oregon;1995
Courtman, N. B.;Beckwith, R. T. - Selman, M. J.;Sacrifice in the Psalms;Sacrifice in the Psalms;Sacrifice in the Bible;;;;41-58;Wipf & Stock Publishers;Eugene, Oregon;1995
Lucas, E. C.;Beckwith, R. T. - Selman, M. J.;Sacrifice in the Prophets;Sacrifice in the Prophets;Sacrifice in the Bible;;;;59-74;Wipf & Stock Publishers;Eugene, Oregon;1995
Wenham, G. J.;Beckwith, R. T. - Selman, M. J.;The Theology of Old Testament Sacrifice;The Theology of Old Testament Sacrifice;Sacrifice in the Bible;;;;75-87;Wipf & Stock Publishers;Eugene, Oregon;1995
Selman, M. J.;Beckwith, R. T. - Selman, M. J.;Sacrifice in the Ancient Near East;Sacrifice in the Ancient Near East;Sacrifice in the Bible;;;;88-104;Wipf & Stock Publishers;Eugene, Oregon;1995
Beckwith, R. T.;Beckwith, R. T. - Selman, M. J.;Sacrifice in the World of the New Testament;Sacrifice in the World of the New Testament;Sacrifice in the Bible;;;;105-110;Wipf & Stock Publishers;Eugene, Oregon;1995
Head, P. M.;Beckwith, R. T. - Selman, M. J.;The Self-Offering and Death of Christ as a Sacrifice in the Gospels and the Acts of the Apostles;The Self-Offering and Death of Christ as a Sacrifice in the Gospels and the Acts of the Apostles;Sacrifice in the Bible;;;;111-129;Wipf & Stock Publishers;Eugene, Oregon;1995
Beckwith, R. T.;Beckwith, R. T. - Selman, M. J.;The Death of Christ as a Sacrifice in the Teaching of Paul and Hebrews;The Death of Christ as a Sacrifice in the Teaching of Paul and Hebrews;Sacrifice in the Bible;;;;130-135;Wipf & Stock Publishers;Eugene, Oregon;1995
Walton, S.;Beckwith, R. T. - Selman, M. J.;Sacrifice and Priesthood in Relation to the Christian Life and Church in the New Testament;Sacrifice and Priesthood in Relation to the Christian Life and Church in the New Testament;Sacrifice in the Bible;;;;136-156;Wipf & Stock Publishers;Eugene, Oregon;1995
Haran, M.;Anderson, G.W. - Beckwith, R. T. - Selman, M. J. - de Boer, G.W. - Castellino, G.R. - Cazelles, H. - Emerton, J. - Nielsen, E. - May, H.G. - Zimmerli, W. ;The Passover Sacrifice;The Passover Sacrifice;Studies in the Religion of Ancient Israel;;;;86-116;Brill;Leiden;1972
Gray, G. B.;;;;Sacrifice In The Old Testament. Its Theory And Practice;;;;;Clarendon;Oxford;1925
Van Seters, J.;;;;Abraham in History and Tradition;;;;;Yale University Press;New Haven;1974
Anderson, G. A.;Herion, G. A. - Graf, D. F. - Pleins, J. D. - Beck, A. D. ;Sacrifice and Sacrificial Offerings;Sacrifice and Sacrificial Offerings;The Anchor Bible Dictionary;;5;;871-886;Doubleday;New York;1992
Daiches, S.;Epstein, I. - Levine, E. - Roth, C.;"The Meaning of ""Sacrifices"" in the Psalms";"The Meaning of ""Sacrifices"" in the Psalms";Essays in Honour of the Very Rev. Dr. J. H. Hertz on the occasion of his seventieth birthday, September 25, 1942 ;;;;97-109;E. Goldston;London;1944
Thompson, R. J. ;;;;Penitence and Sacrifice in Early Israel Outside the Levitical Law;;;;;Brill;Leiden;1963
Baal, J. van ;;Offering, Sacrifice and Gift;Offering, Sacrifice and Gift;;Numen;23;3;161-178;;;
Coleran, J. E. ;;Origins of the Old Testament Sacrifice;Origins of the Old Testament Sacrifice;;Catholic Biblical Quarterly;2;2;130-144;;;1940
Cooke, B. J. ;;Synoptic Presentation of the Eucharist as Convenant Sacrifice;Synoptic Presentation of the Eucharist as Convenant Sacrifice;;Theological Studies;21;;gen-44;;;1960
Cross, L. B.;Grensted, L. W.;Sacrifice in the Old Testament;Sacrifice in the Old Testament;The Atonement in History and in Life;;;;33-64;S.P.C.K.;London;1929
De Vaux, R.;;;;Les Sacrifices de l'Ancien Testament;;;;;Gabalda;Paris;1964
De Vaux, R.;;;;Studies in Old Testament Sacrifice;;;;;University of Wales;Cardiff;1964
Dobbie, R.;;Sacrifice and Morality in the Old Testament;Sacrifice and Morality in the Old Testament;;Expository Times;70;;297-300;;;1959
Hicks, F. N. ;;The Fullness of Sacrifice: an Essay in Reconciliation ;The Fullness of Sacrifice: an Essay in Reconciliation ;;;;;;MacMillan & Co.;London;1930
James, E. O. ;;After Fifty Years: Aspects of Sacrifice in the Old Testament;After Fifty Years: Aspects of Sacrifice in the Old Testament;;Expository Times;50;;151-155;;;1938-39
James, E. O. ;Hastings, J.;Sacrifice and Sacrament;Sacrifice and Sacrament;Encyclopaedia of Religion and Ethics;;11;;01-lug;T. & T. Clark - Scribner's sons;Edinburgh - New York;1962
Masure, E.;;"
";"
";The Sacrifice of the Mystical Body;;;;;H. Regnery - Burns & Oates;Chicago - London;1954
Masure, E.;;;;Le Sacrifice du Chef;;;;;La Colombe;Paris;1957
Neusner, J.;;;;A History of the Mishnaic Law of Holy Things, Part 6: The Mishnaic System of Sacrifice and Sanctuary;;;;;Wipf and Stock Publishers;Eugene;2007
Lavering, M.;;;;Sacrifice and Community: Jewish Offering and Christian Eucharist;;;;;Blackwell Publishing;Malden (Massachusetts);2005
Daly, Robert J.;;;;Origins of the Christian Doctrine of Sacrifice;;;;;Fortress Press;Philadelphia;1978
Deiana, G.;;;;Dai sacrifici dell'Antico Testamento al sacrificio di Cristo;;;;;Urbaniana University Press;Città del Vaticano;2002
Kilian, R.;;;;Isaaks Opferung: zur Uberlieferungsgeschichte von Gen 22;;;;;KBW;Stuttgart;1970
Rad, G. von;;;;Das Opfer des Abraham;;;;;Kaiser;Münich;1981
